labeled_image,original_file_path
improbable-0.jpg,../../data/raw/Pictures for AI\Site 1\Improbable 2.JPG
improbable-1.jpg,../../data/raw/Pictures for AI\Site 1\Improbable 3.JPG
improbable-2.jpg,../../data/raw/Pictures for AI\Site 1\Improbable 4.JPG
improbable-3.jpg,../../data/raw/Pictures for AI\Site 1\Improbable 5.JPG
improbable-4.jpg,../../data/raw/Pictures for AI\Site 1\Improbable 6.JPG
improbable-5.jpg,../../data/raw/Pictures for AI\Site 1\Improbable.JPG
improbable-6.jpg,../../data/raw/Pictures for AI\Site 10\Improbable (2).JPG
improbable-7.jpg,../../data/raw/Pictures for AI\Site 10\Improbable (3).JPG
improbable-8.jpg,../../data/raw/Pictures for AI\Site 10\Improbable (4).JPG
improbable-9.jpg,../../data/raw/Pictures for AI\Site 10\Improbable.JPG
improbable-10.jpg,../../data/raw/Pictures for AI\Site 104\Improbable (2).JPG
improbable-11.jpg,../../data/raw/Pictures for AI\Site 104\Improbable.JPG
improbable-12.jpg,../../data/raw/Pictures for AI\Site 108\Tree ID 14 - Improbable.jpg
improbable-13.jpg,../../data/raw/Pictures for AI\Site 11\Improbable (2).JPG
improbable-14.jpg,../../data/raw/Pictures for AI\Site 11\Improbable (3).JPG
improbable-15.jpg,../../data/raw/Pictures for AI\Site 11\Improbable (4).JPG
improbable-16.jpg,../../data/raw/Pictures for AI\Site 11\Improbable.JPG
improbable-17.jpg,../../data/raw/Pictures for AI\Site 112\Improbable.JPG
improbable-18.jpg,../../data/raw/Pictures for AI\Site 113\1 - Improbable.JPG
improbable-19.jpg,../../data/raw/Pictures for AI\Site 113\10 - Improbable.JPG
improbable-20.jpg,../../data/raw/Pictures for AI\Site 113\11 - Improbable.JPG
improbable-21.jpg,../../data/raw/Pictures for AI\Site 113\12 - Improbable.JPG
improbable-22.jpg,../../data/raw/Pictures for AI\Site 113\13 - Improbable.JPG
improbable-23.jpg,../../data/raw/Pictures for AI\Site 113\14 - Improbable.JPG
improbable-24.jpg,../../data/raw/Pictures for AI\Site 113\15 - Improbable.JPG
improbable-25.jpg,../../data/raw/Pictures for AI\Site 113\2 - Improbable.JPG
improbable-26.jpg,../../data/raw/Pictures for AI\Site 113\3 - Improbable.JPG
improbable-27.jpg,../../data/raw/Pictures for AI\Site 113\4 - Improbable.JPG
improbable-28.jpg,../../data/raw/Pictures for AI\Site 113\5 - Improbable.JPG
improbable-29.jpg,../../data/raw/Pictures for AI\Site 113\6 - Improbable.JPG
improbable-30.jpg,../../data/raw/Pictures for AI\Site 113\7 - Improbable.JPG
improbable-31.jpg,../../data/raw/Pictures for AI\Site 113\8 - Improbable.JPG
improbable-32.jpg,../../data/raw/Pictures for AI\Site 113\9 - Improbable.JPG
improbable-33.jpg,../../data/raw/Pictures for AI\Site 118\Improbable (2).JPG
improbable-34.jpg,../../data/raw/Pictures for AI\Site 118\Improbable (3).JPG
